date,daily_avg_S_64_0
2024/10/30,22.416666666666668
2024/10/31,25.395833333333332
2024/11/01,23.041666666666668
2024/11/02,21.25
2024/11/03,31.041666666666668
2024/11/04,40.083333333333336
2024/11/05,40.791666666666664
2024/11/06,38.8125
2024/11/07,12.916666666666666
2024/11/08,33.5
2024/11/09,33.979166666666664
2024/11/10,35.583333333333336
2024/11/11,29.604166666666668
2024/11/12,39.375
2024/11/13,40.833333333333336
2024/11/14,37.4375
2024/11/15,35.291666666666664
2024/11/16,44.354166666666664
2024/11/17,56.5
2024/11/18,52.395833333333336
2024/11/19,51.583333333333336
2024/11/20,44.854166666666664
2024/11/21,37.5625
2024/11/22,38.541666666666664
2024/11/23,34.666666666666664
2024/11/24,39.541666666666664
2024/11/25,48.416666666666664
2024/11/26,55.458333333333336
2024/11/27,57.270833333333336
2024/11/28,48.291666666666664
2024/11/29,46.270833333333336
2024/11/30,41.520833333333336
2024/12/01,40.9375
2024/12/02,38.479166666666664
2024/12/03,37.666666666666664
2024/12/04,42.020833333333336
2024/12/05,44.916666666666664
2024/12/06,33.083333333333336
2024/12/07,12.541666666666666
2024/12/08,31.645833333333332
2024/12/09,45.666666666666664
2024/12/10,47.291666666666664
2024/12/11,49.229166666666664
2024/12/12,44.8125
2024/12/13,46.125
2024/12/14,47.8125
2024/12/15,48.75
2024/12/16,44.708333333333336
2024/12/17,40.375
2024/12/18,47.0
2024/12/19,44.104166666666664
2024/12/20,48.291666666666664
2024/12/21,49.166666666666664
2024/12/22,43.8125
2024/12/23,41.895833333333336
2024/12/24,44.125
2024/12/25,45.291666666666664
2024/12/26,10.3125
2024/12/27,-54.5
2024/12/28,-4.5
2024/12/29,39.541666666666664
2024/12/30,51.979166666666664
2024/12/31,55.041666666666664
2025/01/01,57.916666666666664
2025/01/02,51.3125
2025/01/03,44.666666666666664
2025/01/04,47.583333333333336
2025/01/05,48.9375
2025/01/06,47.625
2025/01/07,35.645833333333336
2025/01/08,28.875
2025/01/09,30.770833333333332
2025/01/10,30.0625
2025/01/11,33.625
2025/01/12,42.020833333333336
2025/01/13,40.833333333333336
2025/01/14,38.9375
2025/01/15,39.645833333333336
2025/01/16,41.25
2025/01/17,42.979166666666664
2025/01/18,39.645833333333336
2025/01/19,41.104166666666664
2025/01/20,42.270833333333336
2025/01/21,46.75
2025/01/22,49.479166666666664
2025/01/23,51.5
2025/01/24,49.229166666666664
2025/01/25,45.270833333333336
2025/01/26,52.166666666666664
2025/01/27,42.75
2025/01/28,39.95454545454545
